#{"t_start": 1781994639.7331696, "env_id": "CartPole-v1"}
r,l,t
261.0,261,234.582285
204.0,204,235.319054
379.0,379,236.449785
215.0,215,237.138864
222.0,222,237.866862
275.0,275,238.690871
190.0,190,239.261864
185.0,185,239.929864
214.0,214,240.516871
211.0,211,241.127865
317.0,317,242.167824
163.0,163,242.696647
243.0,243,243.465512
208.0,208,244.120034
257.0,257,244.8994
226.0,226,245.593293
254.0,254,246.40258
224.0,224,247.133391
196.0,196,247.742588
220.0,220,248.459588
245.0,245,249.175536
231.0,231,249.923896
194.0,194,250.543793
174.0,174,251.072301
218.0,218,251.777254
243.0,243,252.586318
188.0,188,253.177013
184.0,184,253.760895
181.0,181,254.302704
178.0,178,254.783713
176.0,176,255.305703
157.0,157,255.774704
181.0,181,256.272711
182.0,182,256.818718
181.0,181,257.358787
165.0,165,257.902312
181.0,181,258.420314
177.0,177,258.983305
227.0,227,259.64831
151.0,151,260.113306
171.0,171,260.60232
188.0,188,261.178312
155.0,155,261.698857
206.0,206,262.432747
189.0,189,263.182201
212.0,212,263.950187
157.0,157,264.455853
186.0,186,264.963854
190.0,190,265.508852
177.0,177,266.018853
205.0,205,266.623851
172.0,172,267.088923
200.0,200,267.629924
192.0,192,268.177931
164.0,164,268.638675
154.0,154,269.148686
217.0,217,269.884679
209.0,209,270.599678
168.0,168,271.179004
213.0,213,271.907817
214.0,214,272.59174
174.0,174,273.155619
153.0,153,273.619009
228.0,228,274.333662
178.0,178,274.993757
165.0,165,275.572971
192.0,192,276.216873
156.0,156,276.754565
165.0,165,277.231638
165.0,165,277.72864
147.0,147,278.20464
177.0,177,278.852641
146.0,146,279.391643
153.0,153,279.978189
216.0,216,280.825187
204.0,204,281.467189
183.0,183,282.036189
197.0,197,282.748469
170.0,170,283.478406
181.0,181,284.128937
195.0,195,284.769822
181.0,181,285.355176
171.0,171,285.838181
181.0,181,286.38418
184.0,184,286.883263
156.0,156,287.28127
147.0,147,287.684264
136.0,136,288.144006
137.0,137,288.597153
154.0,154,289.122638
130.0,130,289.60112
155.0,155,290.126117
126.0,126,290.485137
139.0,139,290.95867
139.0,139,291.446665
157.0,157,291.912662
139.0,139,292.286664
143.0,143,292.712678
138.0,138,293.117671
145.0,145,293.558671
147.0,147,293.94967
161.0,161,294.40306
143.0,143,294.839067
137.0,137,295.248548
152.0,152,295.694978
150.0,150,296.175038
142.0,142,296.68461
135.0,135,297.15815
154.0,154,297.652941
136.0,136,298.102943
158.0,158,298.619944
150.0,150,299.047936
137.0,137,299.497166
160.0,160,299.98909
158.0,158,300.470812
149.0,149,300.924804
136.0,136,301.307802
139.0,139,301.71734
148.0,148,302.205798
137.0,137,302.701481
146.0,146,303.137357
154.0,154,303.734468
151.0,151,304.255764
147.0,147,304.799853
147.0,147,305.304215
129.0,129,305.722374
165.0,165,306.269373
160.0,160,306.735368
137.0,137,307.14101
171.0,171,307.643006
138.0,138,308.044004
150.0,150,308.491009
160.0,160,308.916018
143.0,143,309.326002
149.0,149,309.743015
136.0,136,310.164007
173.0,173,310.667007
142.0,142,311.086005
160.0,160,311.625191
205.0,205,312.333885
167.0,167,312.95243
174.0,174,313.548431
170.0,170,314.094439
160.0,160,314.523431
192.0,192,315.082428
156.0,156,315.50743
183.0,183,316.059439
167.0,167,316.545431
172.0,172,317.017511
131.0,131,317.388498
176.0,176,317.949201
176.0,176,318.552963
148.0,148,319.069562
145.0,145,319.565665
157.0,157,320.094967
145.0,145,320.601122
146.0,146,321.07312
165.0,165,321.585124
157.0,157,322.048121
162.0,162,322.579123
168.0,168,323.140129
147.0,147,323.602669
142.0,142,324.090678
141.0,141,324.529595
127.0,127,324.913849
123.0,123,325.304879
143.0,143,325.73222
126.0,126,326.160919
151.0,151,326.613213
157.0,157,327.164966
177.0,177,327.761822
153.0,153,328.282611
166.0,166,328.838455
144.0,144,329.337006
163.0,163,329.794
144.0,144,330.242007
135.0,135,330.620007
205.0,205,331.202999
278.0,278,331.994004
277.0,277,332.800999
189.0,189,333.311999
190.0,190,333.849
218.0,218,334.458555
197.0,197,335.093557
347.0,347,336.194556
192.0,192,336.900635
316.0,316,337.9399
125.0,125,338.365412
137.0,137,338.784597
133.0,133,339.184569
149.0,149,339.66053
144.0,144,340.16982
155.0,155,340.764455
140.0,140,341.242883
167.0,167,341.830797
134.0,134,342.303775
218.0,218,343.08691
147.0,147,343.617029
113.0,113,344.010024
147.0,147,344.564026
125.0,125,344.993014
118.0,118,345.456823
117.0,117,345.943519
137.0,137,346.438382
121.0,121,346.916223
125.0,125,347.381474
135.0,135,347.832472
133.0,133,348.263471
125.0,125,348.678472
124.0,124,349.049473
131.0,131,349.447171
131.0,131,349.906687
121.0,121,350.270689
117.0,117,350.612685
129.0,129,351.058904
