#{"t_start": 1781856978.2918658, "env_id": "CartPole-v1"}
r,l,t
19.0,19,36.781298
18.0,18,36.802298
22.0,22,36.843297
17.0,17,36.872298
12.0,12,36.897292
10.0,10,36.911291
22.0,22,36.959292
49.0,49,37.026298
14.0,14,37.064297
25.0,25,37.108298
12.0,12,37.130299
10.0,10,37.145299
13.0,13,37.196297
25.0,25,37.258295
10.0,10,37.271295
12.0,12,37.298298
18.0,18,37.338298
25.0,25,37.378298
13.0,13,37.407297
17.0,17,37.440298
14.0,14,37.466298
19.0,19,37.501298
11.0,11,37.531296
27.0,27,37.570298
18.0,18,37.605297
14.0,14,37.632299
24.0,24,37.667298
29.0,29,37.710298
22.0,22,37.760298
31.0,31,37.828296
40.0,40,37.915295
20.0,20,37.94329
19.0,19,37.995305
15.0,15,38.017297
20.0,20,38.053298
12.0,12,38.089298
21.0,21,38.13329
26.0,26,38.168299
13.0,13,38.189298
19.0,19,38.234299
23.0,23,38.277292
40.0,40,38.353292
14.0,14,38.375298
17.0,17,38.408298
11.0,11,38.441301
21.0,21,38.483298
17.0,17,38.511306
35.0,35,38.580298
23.0,23,38.624297
35.0,35,38.722298
23.0,23,38.784298
29.0,29,38.832297
19.0,19,38.872294
16.0,16,38.911305
30.0,30,38.965297
16.0,16,38.996293
9.0,9,39.017306
43.0,43,39.072309
14.0,14,39.108298
32.0,32,39.151815
41.0,41,39.243328
14.0,14,39.266331
22.0,22,39.301337
22.0,22,39.353214
29.0,29,39.399383
18.0,18,39.42195
26.0,26,39.473003
20.0,20,39.50609
29.0,29,39.569069
25.0,25,39.609073
20.0,20,39.642116
24.0,24,39.706489
16.0,16,39.749247
26.0,26,39.822804
28.0,28,39.881422
15.0,15,39.917915
27.0,27,39.965632
13.0,13,39.997668
11.0,11,40.024719
21.0,21,40.061929
13.0,13,40.089069
28.0,28,40.146279
34.0,34,40.201247
24.0,24,40.248987
22.0,22,40.287905
16.0,16,40.31118
26.0,26,40.371146
17.0,17,40.411788
42.0,42,40.513302
33.0,33,40.580432
12.0,12,40.599936
11.0,11,40.619504
23.0,23,40.683697
14.0,14,40.708234
11.0,11,40.742833
20.0,20,40.793402
19.0,19,40.836216
14.0,14,40.858258
13.0,13,40.886774
18.0,18,40.918823
